count,temperature,values
1,1.25,"[0.09090909090909091, 0.5714285714285714, 0.1038961038961039, 0.5]"
1,1.25,"[0.19480519480519481, 0.5333333333333333, 0.8181818181818182, 0.12698412698412698]"
1,1.25,"[0.38961038961038963, 0.4, 0.7662337662337663, 0.1864406779661017]"
1,0.75,"[0.35064935064935066, 0.4074074074074074, 0.35064935064935066, 0.4444444444444444]"
1,0.75,"[0.4805194805194805, 0.40540540540540543, 0.6103896103896104, 0.3617021276595745]"
1,0.75,"[0.2727272727272727, 0.42857142857142855, 0.6753246753246753, 0.19230769230769232]"
1,0.75,"[0.4675324675324675, 0.4722222222222222, 0.6883116883116883, 0.2830188679245283]"
1,0.75,"[0.2987012987012987, 0.6521739130434783, 0.6753246753246753, 0.28846153846153844]"
1,0.75,"[0.2987012987012987, 0.4782608695652174, 0.5974025974025974, 0.1956521739130435]"
1,0.75,"[0.4155844155844156, 0.5, 0.6883116883116883, 0.24528301886792453]"
1,0.75,"[0.5194805194805194, 0.425, 0.6233766233766234, 0.3958333333333333]"
1,0.75,"[0.5064935064935064, 0.48717948717948717, 0.4155844155844156, 0.5625]"
1,0.75,"[0.45454545454545453, 0.4, 0.6623376623376623, 0.29411764705882354]"
4,0.75,"[0.2857142857142857, 0.4090909090909091, 0.4155844155844156, 0.28125]"
4,0.75,"[0.2857142857142857, 0.45454545454545453, 0.5584415584415584, 0.27906976744186046]"
4,0.75,"[0.23376623376623376, 0.6666666666666666, 0.3246753246753247, 0.4]"
4,0.75,"[0.2727272727272727, 0.38095238095238093, 0.2857142857142857, 0.4090909090909091]"
4,0.75,"[0.3246753246753247, 0.48, 0.5194805194805194, 0.25]"
4,0.75,"[0.3246753246753247, 0.4, 0.37662337662337664, 0.27586206896551724]"
4,0.75,"[0.4025974025974026, 0.3870967741935484, 0.4935064935064935, 0.23684210526315788]"
4,0.75,"[0.012987012987012988, 1.0, 0.012987012987012988, 1.0]"
4,0.75,"[0.2857142857142857, 0.2727272727272727, 0.18181818181818182, 0.5]"
4,0.75,"[0.2857142857142857, 0.36363636363636365, 0.36363636363636365, 0.39285714285714285]"
10,0.75,"[0.4155844155844156, 0.28125, 0.4805194805194805, 0.2972972972972973]"
10,0.75,"[0.2857142857142857, 0.5454545454545454, 0.42857142857142855, 0.3333333333333333]"
10,0.75,"[0.3116883116883117, 0.25, 0.38961038961038963, 0.3]"
10,0.75,"[0.44155844155844154, 0.29411764705882354, 0.4675324675324675, 0.25]"
10,0.75,"[0.11688311688311688, 0.5555555555555556, 0.11688311688311688, 0.6666666666666666]"
10,0.75,"[0.06493506493506493, 0.8, 0.06493506493506493, 0.8]"
10,0.75,"[0.4025974025974026, 0.5483870967741935, 0.7402597402597403, 0.21052631578947367]"
10,0.75,"[0.4025974025974026, 0.4838709677419355, 0.4675324675324675, 0.4166666666666667]"
10,0.75,"[0.3246753246753247, 0.48, 0.4155844155844156, 0.28125]"
10,0.75,"[0.33766233766233766, 0.5, 0.5194805194805194, 0.3]"
5,1.25,"[0.2727272727272727, 0.5714285714285714, 0.5714285714285714, 0.18181818181818182]"
5,1.25,"[0.36363636363636365, 0.32142857142857145, 0.4155844155844156, 0.3125]"
